Date	Time	Airplane	Tail#	Custom	Route	SEL	Act. Inst.	Sim. Inst.	Inst. App.	FTD	Day LDG	Night LDG	Ground Training	Dual Rcvd	Cross Country	Day	Night	Solo	Pilot in Cmd	pic x_Country	SES	MES	G1000	Complex	High Perf.	Tail Dragger	Dual Given	Total	Notes	Passengers
2/1/2009		C182T	N721ZA			1.5					2					1.5		1.5	1.5	0.0			1.5		1.5			1.5		
2/8/2009		C182T	N721ZA			1.5					2					1.5			1.5	0.0			1.5		1.5			1.5		
3/4/2009		C172P	N146K			1.3					4					1.3		1.3	1.3	0.0								1.3		
3/14/2009		C182S	N182SV			1.5					1					1.5			1.5	0.0					1.5			1.5		
3/20/2009		C182S	N182SV		KUMP-KAND	3.0					1				3.0	3.0			3.0	3.0					3.0			3.0		
3/22/2009		C182S	N182SV		KAND-KUMP	3.2					1				3.2	3.2			3.2	3.2					3.2			3.2		
4/4/2009		A150K	N8310M		KMQJ Local	0.6					1					0.6		0.6	0.6	0.0								0.6		
4/17/2009		C182T	N721ZA		KEYE-KSER-KMQJ-KEYE	1.9					3				1.9	1.9			1.9	1.9			1.9		1.9			1.9		
5/2/2009		C182T	N721ZA		KEYE-KSER-KMQJ-KEYE	2.0					3				2.0	2.0			2.0	2.0			2.0		2.0			2.0		
5/17/2009		C172P	N146K		KEYE-KCFJ-KEYE	1.1					2					1.1		1.1	1.1	0.0								1.1		
5/23/2009		C182T	N721ZA		KEYE-KBAK-KEYE	1.4					2					1.4			1.4	0.0			1.4		1.4			1.4		
6/14/2009		C172P	N146K		KEYE Local	0.5					2					0.5			0.5	0.0								0.5	Took Teddy up for a couple of trips around the patch.	
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
																0.0				0.0										
