Date	Time	Airplane	Tail#	Custom	Route	Day LDG	Night LDG	Inst. App.	Day	Night	SEL	MEL	SES	MES	Ground Trainer	Complex	High Perf.	Tail Dragger	Sim. Inst.	Act. Inst.	Cross Country	Part 135 XC	Dual Given	Dual Rcvd	Pilot in Cmd	Total	Notes	Passengers
4/10/2009		PA28R-201	N288ND		GFK-D41-GFK	5			1.4		1.4					1.4			0.3			1.4		1.4		1.4		
4/11/2009		PA28R-201	N278ND		GFK-4V4-GFK	5			1.3		1.3					1.3			0.2			1.3		1.3		1.3		
4/11/2009		8KCAB	N316CA		GFK-GFK				0.8		0.8							0.8						0.8		0.8		
4/22/2009		PA28R-201	N405ND		GFK-GFK	2			1.4		1.4					1.4								1.4		1.4		
4/28/2009		PA28R-201	N204ND		GFK-GFK	3			1.2		1.2					1.2			0.2					1.2		1.2		
5/6/2009		PA28R-201	N279ND		GFK-GFK	3			1.6		1.6					1.6			0.1					1.6		1.6		
5/22/2009		C172	N571ND		GFK-2L1	5			1.1		1.1											1.1		1.1		1.1		
6/4/2009		C172	N571ND		GFK-GFK	1			1.4		1.4												1.4		1.4	1.4		
6/6/2009		C172	N512ND		GFK-GFK	5			1.0		1.0												1.0		1.0	1.0		
6/7/2009		C172	N566ND		GFK-GFK	3			0.8		0.8												0.8		0.8	0.8		
6/10/2009		C172	N511ND		GFK-GFK	2			1.8		1.8												1.8		1.8	1.8		
6/11/2009		C172	N525ND		GFK-D37-GFK	3			1.7		1.7											1.7	1.7		1.7	1.7		
6/13/2009		C172	N517ND		GFK-GFK	1			1.7		1.7												1.7		1.7	1.7		
6/14/2009		C172	N576ND		GFK-D56-GFK	4			1.5		1.5											1.5	1.5		1.5	1.5		
6/15/2009		C172	N565ND		GFK-GFK	5			0.9		0.9												0.9		0.9	0.9		
6/18/2009		C172	N563ND		GFK-4V4-GFK	8			1.7		1.7											1.7	1.7		1.7	1.7		
6/23/2009		C172	N522ND		GFK-GFK	18			2.0		2.0												2.0		2.0	2.0		
6/24/2009		C172	N573ND		GFK-GFK	8			1.3		1.3												1.3		1.3	1.3		
6/25/2009		C172	N521ND		GFK-GFK	5			0.8		0.8												0.8		0.8	0.8		
6/26/2009		C172	N545ND		GFK-GAF-GFK	3			1.7		1.7											1.7	1.7		1.7	1.7		
7/1/2009		C172	N516ND		GFK-GAF-GFK	4			1.8		1.8											1.8	1.8		1.8	1.8		
7/1/2009		Trueflite 172	SF8387		UND-UND			3							1.3												IPC	
7/6/2009		C172	N571ND		GFK-GAF-GFK	2			1.5		1.5											1.5	1.5		1.5	1.5		
7/7/2009		C172	N512ND		GFK-Y37-GFK	4			1.7		1.7											1.7	1.7		1.7	1.7		
7/8/2009		C172	N572ND		GFK-D37-GFK	4			1.2		1.2											1.2	1.2		1.2	1.2		
7/8/2009		Trueflite 172	SF8062		UND-UND			1							1.0													
7/9/2009		C172	N565ND		GFK-GAF-GFK	3			1.5		1.5											1.5	1.5		1.5	1.5		
7/10/2009		Trueflite 172	SF8062		UND-UND			2							1.0													
7/10/2009		C172	N565ND		GFK-GFK		3			0.4	0.4														0.4	0.4		
7/11/2009		C172	N574ND		GFK-GFK	1		1	1.1		1.1								0.7					1.1		1.1		
7/11/2009		C172	N576ND		GFK-4V4-GFK	4			1.4		1.4											1.4	1.4		1.4	1.4		
7/13/2009		C172	N524ND		GFK-BJI-TVF-GFK	3			2.5		2.5										2.5	2.5	2.5		2.5	2.5		
7/14/2009		C172	N511ND		GFK-CKN	1		2	1.0		1.0								0.4	0.3		1.0		1.0		1.0		
7/14/2009		C172	N511ND		CKN-GFK	1		1	0.7		0.7								0.4	0.1		0.7		0.7		0.7		
7/15/2009		C172	N529ND		GFK-GFK	1		2	1.2		1.2								0.7	0.1				1.2		1.2		
7/15/2009		C172	N563ND		GFK-CKN-GFK		7			1.6	1.6											1.6	1.6		1.6	1.6		
7/21/2009		C172	N551ND		GFK-GFK	1		2	1.2		1.2								0.9					1.2		1.2		
7/21/2009		C172	N524ND		GFK-CKN-GFK	4			1.7		1.7											1.7	1.7		1.7	1.7		
7/22/2009		C172	N563ND		GFK-CKN-GFK	4			1.7		1.7											1.7	1.7		1.7	1.7		
7/22/2009		C172	N524ND		GFK-STP-FAR-GFK	1	2	2	2.6	2.7	5.3								4.0	0.2	5.3	5.3		5.3		5.3		
7/22/2009		C172	N567ND		GFK-GAF-GFK	3			1.4		1.4											1.4	1.4		1.4	1.4		
7/23/2009		C172	N575ND		GFK-3H4-GFK	5			1.3		1.3											1.3	1.3		1.3	1.3		
7/24/2009		C172	N564ND		GFK-GAF-GFK	2		2	1.8		1.8								0.9	0.5		1.8		1.8		1.8		
7/28/2009		PA28-161	N442ND		GFK-GFK	10			1.1		1.1													1.1		1.1		
7/29/2009		C172	N527ND		GFK-GFK	2			1.5		1.5												1.5		1.5	1.5		
8/1/2009		C172	N570ND		GFK-GFK	1		1	1.7		1.7								1.3					1.7		1.7		
8/4/2009		C172	N571ND		GFK-GFK	5			1.5		1.5												1.5		1.5	1.5		
8/4/2009		C172	N570ND		GFK-GFK	1		1	1.0		1.0								0.7					1.0		1.0		
8/9/2009		C172	N524ND		GFK-GFK	10			1.0		1.0												1.0		1.0	1.0		
8/10/2009		C172	N565ND		GFK-GAF-GFK	3			1.8		1.8											1.8	1.8		1.8	1.8		
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
