DATE	TYPE	PLANE	ROUTE	DURATION	DAY LANDINGS	NIGHT LANDNG	ACTUAL INSTRUMENT	NIGHT	"CROSS COUNTRY
COUNTRY"	SIC
1/7/2009	CRJ200	N8588D	MEM-MCI	1.5	0	0	0	0	1.5	1.5
1/7/2009	CRJ200	N8588D	MCI-MSP	1.9	1	0	0	0	1.9	1.9
1/7/2009	CRJ200	N8588D	MSP-ICT	1.7	0	0	0	0	1.7	1.7
1/7/2009	CRJ200	N8588D	ICT-MSP	1.9	0	1	0.2	1	1.9	1.9
1/7/2009	CRJ200	N8532G	MSP-GRR	1.5	0	0	0	0	1.5	1.5
1/7/2009	CRJ200	N8532G	GRR-MSP	1.6	1	0	0	0	1.6	1.6
1/13/2009	CRJ200	N8896A	MSP-SBN	1.8	0	0	0	1.8	1.8	1.8
1/13/2009	CRJ200	N8588D	SBN-DTW	1.7	1	0	0.2	0	1.7	1.7
1/13/2009	CRJ200	N8588D	DTW-CLE	1.1	0	0	0.3	0	1.1	1.1
1/13/2009	CRJ200	N8588D	CLE-DTW	1.4	1	0	0.2	0	1.4	1.4
1/13/2009	CRJ200	N8588D	DTW-AVP	1.9	0	0	0	0	1.9	1.9
1/14/2009	CRJ200	N8758D	AVP-DTW	1.9	1	0	0	0	1.9	1.9
1/14/2009	CRJ200	N8933B	DTW-MBS	1.3	0	0	0.4	0	1.3	1.3
1/15/2009	CRJ200	N8751D	MBS-MSP	2	0	0	0	0	2	2
1/15/2009	CRJ200	N805AY	MSP-MSN	1.1	0	0	0	0	1.1	1.1
1/15/2009	CRJ200	N805AY	MSN-MSP	1.3	1	0	0	0	1.3	1.3
1/15/2009	CRJ200	N8903A	MSP-ICT	1.8	0	0	0	0	1.8	1.8
1/15/2009	CRJ200	N8903A	ICT-MSP	1.8	1	0	0	0	1.8	1.8
1/19/2009	CRJ200	N8908D	MSP-SBN	1.5	0	0	0.2	1.5	1.5	1.5
1/19/2009	CRJ200	N8673D	SBN-DTW	1.4	1	0	0	0	1.4	1.4
1/19/2009	CRJ200	N8913A	DTW-MDT	1.3	0	0	0	0	1.3	1.3
1/20/2009	CRJ200	N8903A	MDT-MSP	2.5	1	0	0	0	2.5	2.5
1/20/2009	CRJ200	N8532G	MSP-YWG	1.4	0	0	0	0	1.4	1.4
