DATE	 	TYPE	PLANE	 	ROUTE 		TOTAL	Cross Country			DAY LANDINGS NIGHT LANDINGS 	ACTUAL INSTRUMENT	SIMULATED INSTRUMENT	APPROACHES		NIGHT	SIMULATOR	 		SOLO	PILOT IN COMMAND	DUAL RECEIVED		REMARKS
30 Apr 81	C-172	N42095	1	mmu--local	1.6				1			1.6						1.6	1.6		
19 May 81	C-172	N42095	4	mmu--13n--12n--4n1--mmu	1.7				4							1.7	1.7	1.7		1	
22 May 81	C-172	N42095	1	mmu--local	2.7				1	2		2.5		1.0				2.7	2.7		
26 May 81	ATC610	N761oj	1	sim	1.8										1.8			1.8	1.8		
2 Jun 81	ATC610	N761oj	1	sim	2.4										2.4			2.4	2.4		
3 Jun 81	ATC610	N761oj	1	sim	2.2										2.2			2.2	2.2		
14 Jun 81	ATC610	N761oj	1	sim	1.8										1.8			1.8	1.8		
15 Jun 81	ATC610	N761oj	1	sim	1.1										1.1			1.1	1.1		
17 Jun 81	C-172	N42095	2	mmu--abe--mmu	2.8	2.8				1		2.6		1.0		2.8		2.8	2.8		
29 Jun 81	C-172	N42095	3	mmu--3g1--vll--azo	6.8	6.8			3							6.8		6.8			
2 Jul 81	C-172	N42095	1	azo--local	0.6				1									0.6			
3 Jul 81	C-172	N42095	1	azo--vll	1.4	1.4			1							1.4	1.4	1.4			
4 Jul 81	C-172	N42095	2	vll--bfd--nk68	4.1	4.1			2							4.1	4.1	4.1		1	
5 Jul 81	C-172	N42095	1	nk68--mmu	1.0	1.0			1							1.0	1.0	1.0			
11 Jul 81	C-172	N42095	2	mmu--bid--mmu	3.5	3.5			2							3.5		3.5			
16 Jul 81	C-172	N42095	3	mmu--pwm--bid--mmu	6.6	6.6			3							6.6		6.6			
9 Jun 08	C-152	N25028	1	ith--local	1.1				2									1.1	1.1		
11 Jun 08	C-152	N25028	1	ith--local	1.3				2			0.3						1.3	1.3		
13 Jun 08	C-152	N25028	2	ith--bgm--ith	1.2				2									1.2	1.2		
17 Jun 08	C-152	N6230Q	1	ith--local	1.3				7									1.3	1.3		
