Date	Tail Number	Route	Duration	LANDINGS DAY
7/28/2007	B744	KSTL-KORD	1.5	1
7/28/2007	B744	KORD-KIAH	1.5	1
7/28/2007	B744	KIAH-KIAD	1.5	1
8/20/2007	B744	KIAD-KBOS	1.5	1
8/24/2007	B744	KBOS-KSFO	1.5	1
8/26/2007	B744	KSFO-KLAX	1.5	1
8/26/2007	B744	KLAX-KMCO	1.5	1
9/1/2007	B744	KMCO-KIAD	1.5	1
9/1/2007	B744	KIAD-KSFO	1.5	1
9/4/2007	B744	KSFO-KORD	1.5	1
9/6/2007	B744	KORD-KIAD	1.5	1
9/8/2007	B744	KIAD-CYYZ	1.5	1
9/8/2007	B744	CYYZ-KIAD	1.5	1
9/17/2007	B744	KIAD-EGLL	1.5	1
9/19/2007	B744	EGLL-EGCC	1.5	1
9/21/2007	B744	EGCC-EGLL	1.5	1
9/25/2007	B744	EGLL-KSFO	1.5	1
10/6/2007	B744	KSFO-PHOG	1.5	1
12/8/2007	B744	PHOG-PHNL	1.5	1
12/8/2007	B744	PHNL-YSSY	1.5	1
12/8/2007	B744	YSSY-PHNL	1.5	1
12/8/2007	B744	PHNL-PHLI	1.5	1
12/8/2007	B744	PHLI-PHNL	1.5	1
12/12/2007	B744	PHNL-KSEA	1.5	1
12/12/2007	B744	KSEA-KPDX	1.5	1
12/12/2007	B744	KPDX-KSEA	1.5	1
12/15/2007	B744	KSEA-KLAX	1.5	1
12/16/2007	B744	KLAX-KDEN	1.5	1
12/16/2007	B744	KDEN-KMCI	1.5	1
12/16/2007	B744	KMCI-KORD	1.5	1
12/22/2007	B744	KORD-KFAR	1.5	1
12/22/2007	B744	KFAR-KORD	1.5	1
12/23/2007	B744	KORD-KDCA	1.5	1
1/16/2008	B744	KDCA-KBOS	1.5	1
1/17/2008	B744	KBOS-KSFO	1.5	1
1/19/2008	B744	KSFO-KORD	1.5	1
1/21/2008	B744	KORD-KLAX	1.5	1
1/29/2008	B744	KLAX-VHHH	1.5	1
1/29/2008	B744	VHHH-KORD	1.5	1
1/31/2008	B744	KORD-VHHH	1.5	1
2/1/2008	B744	VHHH-KLAX	1.5	1
2/2/2008	B744	KLAX-KPHX	1.5	1
2/2/2008	B744	KPHX-KDEN	1.5	1
2/23/2008	B744	KDEN-KIAD	1.5	1
2/24/2008	B744	KIAD-LIRF	1.5	1
2/27/2008	B744	LIRF-KIAD	1.5	1
2/29/2008	B744	KIAD-RJAA	1.5	1
2/29/2008	B744	RJAA-KIAD	1.5	1
3/21/2008	B744	KIAD-EGLL	1.5	1
3/22/2008	B744	EGLL-KLAX	1.5	1
4/22/2008	B744	KLAX-KPDX	1.5	1
4/26/2008	B744	KPDX-KLAX	1.5	1
3/23/2009	B744	KLAX-KORD	1.5	1
3/24/2009	B744	KORD-KFAR	1.5	1
3/24/2009	B744	KFAR-KORD	1.5	1
3/25/2009	B744	KORD-KSFO	1.5	1
4/11/2009	B744	KSFO-KORD	1.5	1
7/28/2009	B744	KORD-KFAR	1.5	1
7/28/2009	B744	KFAR-KDEN	1.5	1
