Date	Tail Number	Route	Duration	LANDINGS DAY
2/18/2006	B744	KIAD-EDDF	1.5	1
2/18/2006	B744	EGLL-EDDF	1.5	1
2/19/2006	B744	EDDF-LOWW	1.5	1
3/4/2006	B744	LOWW-OJAI	1.5	1
3/5/2006	B744	KJFK-KSFO	1.5	1
3/12/2006	B744	KSFO-RJAA	1.5	1
3/13/2006	B744	RJAA-KSEA	1.5	1
3/26/2006	B744	KSEA-KSFO	1.5	1
3/26/2006	B744	KSFO-PHNL	1.5	1
3/27/2006	B744	PHNL-KDEN	1.5	1
3/28/2006	B744	KDEN-KIAD	1.5	1
3/29/2006	B744	KIAD-KORD	1.5	1
3/30/2006	B744	KORD-KSFO	1.5	1
3/31/2006	B744	KSFO-KEWR	1.5	1
4/1/2006	B744	KEWR-EDDM	1.5	1
4/2/2006	B744	EDDM-EFHK	1.5	1
4/4/2006	B744	EFHK-EDDF	1.5	1
4/8/2006	B744	EDDF-KBOS	1.5	1
4/9/2006	B744	KBOS-KORD	1.5	1
4/9/2006	B744	KORD-KRDU	1.5	1
4/10/2006	B744	KRDU-KLGA	1.5	1
4/15/2006	B744	KLGA-KIAD	1.5	1
4/24/2006	B744	KIAD-EGLL	1.5	1
4/24/2006	B744	EGLL-EDDF	1.5	1
4/25/2006	B744	EDDF-KMIA	1.5	1
4/28/2006	B744	KMIA-CYYZ	1.5	1
4/30/2006	B744	CYYZ-CYVR	1.5	1
5/2/2006	B744	CYVR-KSFO	1.5	1
5/5/2006	B744	KSFO-PHKO	1.5	1
5/6/2006	B744	PHKO-KSFO	1.5	1
5/8/2006	B744	KSFO-RJAA	1.5	1
5/13/2006	B744	RJAA-KLAX	1.5	1
5/13/2006	B744	KLAX-KDEN	1.5	1
5/15/2006	B744	KDEN-KLAS	1.5	1
5/15/2006	B744	KLAS-KLAX	1.5	1
5/17/2006	B744	KLAX-PHNL	1.5	1
5/18/2006	B744	PHNL-PHLI	1.5	1
5/18/2006	B744	PHLI-PHNL	1.5	1
5/20/2006	B744	PHNL-KSFO	1.5	1
5/21/2006	B744	KSFO-KSAN	1.5	1
5/22/2006	B744	KSAN-KLAX	1.5	1
5/23/2006	B744	KLAX-NFFN	1.5	1
5/24/2006	B744	NFFN-NZAA	1.5	1
5/27/2006	B744	NZAA-PHNL	1.5	1
5/29/2006	B744	PHNL-RJBB	1.5	1
6/3/2006	B744	RJBB-KSFO	1.5	1
6/4/2006	B744	KSFO-KORD	1.5	1
6/6/2006	B744	KORD-KIAD	1.5	1
6/12/2006	B744	KIAD-LSZH	1.5	1
6/24/2006	B744	LSZH-LFPG	1.5	1
7/3/2006	B744	LFPG-KORD	1.5	1
7/4/2006	B744	KORD-KSFO	1.5	1
7/8/2006	B744	KSFO-KLAX	1.5	1
7/11/2006	B744	KLAX-ZBAA	1.5	1
7/20/2006	B744	ZBAA-KSFO	1.5	1
8/15/2006	B744	KSFO-PHNL	1.5	1
8/22/2006	B744	PHNL-KDEN	1.5	1
8/26/2006	B744	KDEN-KBOS	1.5	1
8/27/2006	B744	KBOS-KLAX	1.5	1
8/28/2006	B744	KLAX-KSFO	1.5	1
8/29/2006	B744	KSFO-PHNL	1.5	1
9/2/2006	B744	PHNL-PHTO	1.5	1
9/2/2006	B744	PHTO-PHNL	1.5	1
9/2/2006	B744	PHNL-RJAA	1.5	1
9/4/2006	B744	RJAA-VHHH	1.5	1
9/8/2006	B744	VHHH-KSFO	1.5	1
9/8/2006	B744	KSFO-CYVR	1.5	1
9/8/2006	B744	CYVR-PANC	1.5	1
9/8/2006	B744	PANC-KSFO	1.5	1
9/9/2006	B744	KSFO-KORD	1.5	1
9/16/2006	B744	KORD-KIAH	1.5	1
9/17/2006	B744	KIAH-KIAD	1.5	1
9/21/2006	B744	KIAD-EGLL	1.5	1
9/24/2006	B744	EGLL-KLAX	1.5	1
9/27/2006	B744	KLAX-KSEA	1.5	1
10/13/2006	B744	KSEA-KLAX	1.5	1
10/14/2006	B744	KLAX-KPDX	1.5	1
10/14/2006	B744	KPDX-KSFO	1.5	1
10/15/2006	B744	KSFO-KPSP	1.5	1
10/15/2006	B744	KPSP-KDEN	1.5	1
10/22/2006	B744	KDEN-KSLC	1.5	1
10/23/2006	B744	KSLC-KSFO	1.5	1
10/23/2006	B744	KSFO-KRNO	1.5	1
10/23/2006	B744	KRNO-KSFO	1.5	1
10/24/2006	B744	KSFO-KDEN	1.5	1
10/24/2006	B744	KDEN-KPDX	1.5	1
10/25/2006	B744	KPDX-KMFR	1.5	1
10/25/2006	B744	KMFR-KPDX	1.5	1
10/26/2006	B744	KPDX-KORD	1.5	1
10/27/2006	B744	KORD-KDCA	1.5	1
10/27/2006	B744	KDCA-KORD	1.5	1
10/28/2006	B744	KORD-KSAN	1.5	1
10/28/2006	B744	KSAN-KLAX	1.5	1
10/30/2006	B744	KLAX-PHNL	1.5	1
10/30/2006	B744	PHNL-PHTO	1.5	1
10/30/2006	B744	PHTO-PHOG	1.5	1
10/30/2006	B744	PHOG-PHNL	1.5	1
11/1/2006	B744	PHNL-KORD	1.5	1
11/2/2006	B744	KORD-KPVD	1.5	1
11/3/2006	B744	KPVD-KIAD	1.5	1
