"DATE"	"MAKE/MODEL"	"IDENT"	"FROM"	"MID"	"TO"	"DURATION"	"ASEL"	"AMEL"	"COMPLEX"	"SIM"	"SIM"	"DAY"	"NIGHT"	"NIGHT PIC"	"Dual"	"PIC"	"TOTAL"	"INSTRUMENT"	"INST/HOOD"	"APPROACH"	"SIMULATOR"	"PIC"	"DUAL RCV"	"SOLO"	"TOTAL"		"COMMAND"	"COMMAND"	"RECEIVED"	"INSTRUCTOR"	"FTD"	"PCATD"	"X-COUNTRY"	"PRIVATE"	"INSTRUMENT"	"COMMERCIAL"	"CFI"	"CFII"	"MULTI"								
12-Apr-06	"BE36-A"	"94JV"	"IWA"		"IWA"	1.4	1.4		1.4			3																	1.4														
13-Apr-06	"BE36-A"	"9067E"	"IWA"		"IWA"	1.3	1.3		1.3			4																	1.3														
14-Apr-06	"BE36-A"	"9067E"	"IWA"		"IWA"	1.4	1.4		1.4			3																	1.4														
19-Apr-06	"BE36-A"	"9067E"	"IWA"		"IWA"	1.5	1.5		1.5			4																	1.5														
21-Apr-06	"BE36-A"	"8256H"	"IWA"	"MZJ"	"IWA"	1.3	1.3		1.3			4											1.3		1.3				1.4														
26-Apr-06	"BE36-A"	"9067E"	"IWA"		"IWA"	1.4	1.4		1.4			4																	1.4														
27-Apr-06	"BE36-A"	"7206J"	"IWA"		"IWA"	1.0	1.0		1.0			7																	1.0														
28-Apr-06	"BE36-A"	"9067E"	"IWA"		"IWA"	1.0	1.0		1.0			3																	1.0														
6-May-06	"FRASCA 141"									2.0											2.0																						
4-Jun-06	"BE36-A"	"8256H"	"IWA"	"PAN-CHD"	"IWA"	1.9	1.9		1.9			3										1.9	1.9		1.9		1.9		1.9														
12-Jun-06	"FRASCA 141"									2.1											2.1																						
14-Jun-06	"BE36-A"	"94JV"	"IWA"	"CGZ"	"IWA"	1.9	1.9		1.9				4	4	1.9	1.9	1.9		1.6								1.9		1.9														
14-Jun-06	"FRASCA 141"									2.0											2.0																						
15-Jun-06	"FRASCA 141"									2.0											2.0																						
