DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,DURATION,LANDINGS DAY,INSTRUMENT,SIMULATED INSTRUMENT,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,REMARKS
24 Sep 08,PA-28-180,N9425J,EEN-3B3,1.2,1,,,,,,,1.2,,,$102.00,,Safety pilot for devan wiebe
5 Oct 08,PA-28-180,N9425J,3B3,1.2,1,,0.5,0.5,,,,1.2,,,$102.00,,Fit to pick up Devan, then ORH 11 ILS w/ Devan as safety pilot
6 Oct 08,PA-28-180,N9425J,3B3-KSFM,1.9,1,,1.7,,,1.9,,1.9,,,$161.50,,VOR @ keen
ILS @ CON
ILS @ SFM
6 Oct 08,PA-28-180,N9425J,KSFM-3B3,0.8,1,,,,,,,0.8,,,$68.00,,Safety Pilot for Devan Wiebe
7 Oct 08,PA-28-180,N9425J,3B3,2.5,,,2.4,2.5,,,,2.5,2.5,,$212.50,,IFR training flight
9 Oct 08,PA-28-180,N9425J,3B3-KSFM,0.8,1,,,,,0.8,,0.8,,,$68.00,,Sanford maine with Dan Vazquez
9 Oct 08,PA-28-180,N9425J,KSFM-3B3,1.2,,,,1.2,,1.2,,1.2,,,$102.00,,Back from Sanford with Dan Vazquez
11 Oct 08,PA-28-180,N9425J,3B3-LWM,0.5,1,,,,,,,0.5,,,$42.50,,Lawrence for Young Eagles
11 Oct 08,PA-28-180,N9425J,LWM,2.3,5,,,,,,,2.3,,,$195.50,,5 Young Eagle Flights

Leim
Rourian
Peter
Daniel
Carlos
11 Oct 08,PA-28-180,N9425J,LWM-KLCI,0.9,1,,,,,0.9,,0.9,,,$76.50,,Laconia from Lawrence
11 Oct 08,PA-28-180,N9425J,KLCI-KLWM,0.9,1,,,,,0.9,,0.9,,,$76.50,,Back to Sterling
12 Oct 08,PA-28-180,N7909w,3B3-HFD-3B3,1.6,,,1.6,,,,,1.6,,,,,Gary Rabidou- Safety pilot
12 Oct 08,PA-28-180,N9425j,3B3-3B3,2.5,,,2.5,2.5,,,,2.5,2.5,,$212.50,,
12 Oct 08,Cessna 172,N13215,3B3-ORH,0.3,1,,,,,,,0.3,,,,,
18 Oct 08,PA-28-180,N9425j,3B3-hawthorne-3B3,0.9,1,,,,,,0.9,0.9,,,$85.50,,
30 Oct 08,PA-28-180,N9425j,3B3--3B3,2.7,1,,2.6,2.7,,,,2.7,2.6,,$229.50,,
5 Nov 08,PA-28-180,N9425j,3B3--ORH,0.6,,,,0.6,,,,0.6,,,$51.00,,
11 Nov 08,PA-28-180,N9425j,3B3--3B3,2.2,,,2.2,2.2,,,,2.2,2.2,,$187.00,,
12 Nov 08,PA-28-180,N9425j,3B3--3B3,2.2,,,2.2,2.2,,,,2.2,2.2,,$187.00,,
18 Nov 08,Cessna 172,N2081S,BED,1.1,,,0.2,0.6,,,,1.1,1.1,,$225.50,,g1000 checkout
19 Nov 08,Cessna 172,N6229Q,BED,1.3,5,,,,,,,1.3,1.3,,$266.50,,
20 Nov 08,PA-28-180,N9425j,3B3 EEN CAM KALB,1.5,,0.5,1.0,1.5,,1.5,,1.5,1.5,,$127.50,,ILS @ ALB under IFR
20 Nov 08,PA-28-180,N9425j,KALB V123 HAARP KDXR,1.3,,0.3,1.0,1.3,,1.3,,1.3,1.3,,$110.50,,Localizer missed approach DXR
20 Nov 08,PA-28-180,N9425j,KDXR HFD KORH,1.2,1,0.2,1.0,1.2,,1.2,,1.2,1.2,,$102.00,,ILS @ ORH
21 Nov 08,PA-28-180,N9425j,3B3-KPYM,0.8,,,,0.8,,0.8,,0.8,,,$68.00,,Dinner with sam
21 Nov 08,PA-28-180,N9425j,KPYM-3B3,1.0,,,,1.0,,1.0,,1.0,,,$85.00,,
26 Nov 08,PA-28-180,N9425j,3B3,1.4,,,1.2,1.4,,,,1.4,1.2,,$119.00,,DME arcs, partial panel
2 Dec 08,PA-28-180,N9425j,3B3-LEB-SFM-CON,3.4,,1.0,2.3,3.4,,3.4,,3.4,3.4,,$289.00,,
3 Dec 08,Cessna 172,N6229Q,KBED-KLWM-KBED,1.7,1,,0.9,0.8,,,,1.7,1.7,,,,ILS rwy 5 @ klwm
GPS rwy 23 @ kbed
6 Dec 08,Cessna 172,N2081S,KBED,0.5,1,,,,,,,0.5,,,,,Alternator failure
10 Dec 08,Cessna 172,N6229Q,KBED,0.8,1,0.5,,,,,,0.8,0.8,,,,Ils 29 @kbed
17 Dec 08,PA-28-180,N9425j,3B3-KPYM-3B3,3.3,,,3.0,3.3,,3.3,,3.3,,,$280.50,,3b3-put-pvd-kpym
kpym-put-5b3
5b3-pimp-ILS 29
Missed appch and hold off ils 29@ orh
Safety Pilot-  Scott Hopkins
18 Dec 08,182RG,N737HP,3B3-Kcon,0.5,,,,,,,,0.5,0.5,,,,
18 Dec 08,182RG,N737HP,Kcon-3b3,1.5,,,1.5,1.5,,,,1.5,1.5,,,,
23 Dec 08,Cessna 150,N45434,3B3-Kfit-3B3,0.9,2,,,,,,,0.9,,,$63.00,,150 ferry to fit for nose strut
23 Dec 08,Cessna 172,N13215,3B3-ORH-3b3,1.9,,,1.9,1.9,,,,1.9,1.9,,$100.00,,No gyro appches
24 Dec 08,SIMULATOR,X-plane,KBvy,1.3,1,,,,1.3,,,,,,$130.00,,
26 Dec 08,Cessna 172,N13215,3B3-GDM-3b3,1.3,1,,0.8,,,,,1.3,,,$123.50,,Safety pilot scot hopkins
29 Dec 08,Cessna 150,N45434,KASH-3B3,0.6,1,,,,,,,0.6,,,$42.00,,back from wings. right seat
29 Dec 08,Cessna 172,N13215,3B3-ORH-3b3,1.4,,,1.0,,,,,1.4,,,$133.00,,ILS 29 @ ORH
VOR @ GDM
VOT test @ ORH
Safety pilot- Scott hopkins
4 Jan 09,Cessna 172,N1307A,Enroute,0.8,,,,,,,,0.8,,,$76.00,,Safety Pilot for Sam Carter
4 Jan 09,Cessna 172,N1307A,KBAF-KBED,1.2,1,,0.8,1.2,,1.2,,1.2,,,$76.00,,ILS 29 @ KBED
Safety Pilot- Sam Carter
14 Jan 09,PA-28-180,N9425j,3B3,2.0,1,,1.7,0.3,,,,2.0,2.0,,$170.00,,Sean Brodeur
16 Jan 09,PA-28-180,N9425j,3B3-HVN-3B3,3.3,1,,2.3,3.3,,3.3,,3.3,,,$280.50,,Safety pilot sam carter
17 Jan 09,PA-28-180,N9425j,3B3-KASH-0B5-GDM,1.9,3,,0.8,,,,,1.9,,,$161.50,,Gary Rabidou safety pilot.
KASH for bkfst
25 Jan 09,PA-28-180,N9425j,GDM-3B3-KOWD,1.6,2,,,,,,,1.6,,,$136.00,,
25 Jan 09,PA-28-180,N9425j,KOWD-KLZD,0.8,1,,,,,,,0.8,,,$68.00,,Practice vor approach/hold
25 Jan 09,PA-28-180,N9425j,KLZD-KPYM,0.9,1,,,,,,,0.9,,,$76.50,,Lunch @ pym with scott
25 Jan 09,PA-28-180,N9425j,KPYM-KBVY,0.8,1,,,,,0.8,,0.8,,,$68.00,,
25 Jan 09,PA-28-180,N9425j,KBvy-KBVY,0.8,1,,,0.8,,,,0.8,,,$68.00,,ILS/VOR @ LWM
LOC @ BVY
saftey pilot scott hopkins
25 Jan 09,PA-28-180,N9425j,KBvy-3B3,0.5,,,,0.5,,,0.5,0.5,,,$42.50,,
26 Jan 09,PA-28-180,N9425j,3B3-7B2,0.5,1,,,,,,,0.5,,,$42.50,,
26 Jan 09,PA-28-180,N9425j,7B2-SFZ-KLZD-KORH-7B2,2.5,2,,2.2,,,,,2.5,2.5,,$212.50,,Sean Brodeur
26 Jan 09,PA-28-180,N9425j,7B2-KORH-3B3,0.7,2,,,,,,,0.7,,,$59.50,,VOT @ KORH
26 Jan 09,PA-28-180,N9425j,3B3-3b3,0.3,2,,,,,,,0.3,,,$25.50,,Practice t/o and landings
26 Jan 09,PA-28-180,N9425j,3B3-KEEN-KAFN-KBAF-3B3,2.2,,,2.1,2.1,,,,2.2,2.1,,$187.00,,Tony Lin
29 Jan 09,Cessna 150,N45434,3B3-EEN-3B3,1.4,2,,,,,,,1.4,,,$98.00,,EEN for Breakfeast
