DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,DURATION,LANDINGS DAY,INSTRUMENT,SIMULATED INSTRUMENT,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,REMARKS
1 Feb 09,PA-28-180,N9425J,3B3-SFZ-GDM,2.2,3,,,,,,,2.2,,,$187.00,,Generator failure with ray collins
4 Feb 09,Cessna 172,N13215,3B3,2.4,,,2.0,2.4,,,,2.4,,,$228.00,,Safety pilot scot hopkins
9 Feb 09,Cessna 172,N13215,3B3-HFD,2.5,,,2.1,2.5,,2.5,,2.5,,,$237.50,,Safety Pilot- Gary Rabidou
9 Feb 09,Cessna 172,N13215,HFD-3B3,1.2,,,1.0,1.2,,1.2,,1.2,,,$114.00,,Safety Pilot gary Rabidou
ORH ILS
16 Feb 09,PA-28-180,N9425J,3B3,1.4,1,,,,,,,1.4,,,$119.00,,
17 Feb 09,PA-28-180,N9425J,3B3-3b3-sfz-gdm-3b3,4.0,2,,1.3,0.2,,,0.2,4.0,,,$340.00,,IFR Checkride, then gardner for nose wheel
25 Feb 09,Cessna 172,N2081S,KBED-PYM-KBED,1.6,,,,0.8,,,,1.6,,,$152.00,,safety pilot for sam carter
10 Mar 09,PA28R-200,N41363,KBED,1.2,1,,,,,,,,1.2,,$240.00,,
13 Mar 09,PA28R-200,N41363,KBED,1.5,2,,,,,,,,1.5,,$305.20,,
14 Mar 09,PA28R-200,N41363,KBED,1.4,1,,,,,,,,1.4,,$280.00,,
15 Mar 09,PA-28-180,N9425J,3B3-ORH-ROC-GFL-3B3,6.0,4,,,,,5.6,5.6,6.0,,,$493.00,,Long Cross COuntry
17 Mar 09,PA28R-200,N41363,KBED,2.1,5,,,,,,,,2.1,,$420.00,,
20 Mar 09,PA28R-200,N41363,KBED,1.6,4,,,,,,,,1.6,,$298.40,,
22 Mar 09,PA-28-180,N9425J,3B3-GDM-3b3,1.0,,,,1.0,,,1.0,1.0,,,$60.00,,
24 Mar 09,PA-28-180,N9425J,3B3-1b1-kpou-3b3,2.5,,,,2.5,,2.5,,2.5,2.5,,$212.50,,
27 Mar 09,PA-28-180,N9425J,3B3-Ewb-orh-3b3,1.8,1,,,1.8,,1.8,1.8,,,,$111.00,,
28 Mar 09,Cessna 172,n1307a,KBED-KLWM_KBVY-KBED,1.5,1,1.0,,,,,,1.5,1.5,,$273.00,,
31 Mar 09,PA-28-180,N9425J,3B3-KORH-3B3,1.1,,,,1.1,,,1.1,1.1,,,$93.50,,9 Nght Ldgs @ ORH
1 Apr 09,PA28R-200,N41363,KBED,1.7,,,,0.4,,,,,1.7,,$246.50,,
14 Apr 09,Cessna 172,N13215,3b3-KLEW-3b3,2.8,2,,,,,2.8,,2.8,2.8,,$266.00,,100nm dual XC
16 Apr 09,PA28R-200,N41363,KBED,1.3,6,,,0.2,,,,1.3,1.3,,$188.50,,
18 Apr 09,PA-28-180,N9425J,3B3-Kpsm-3b3,1.6,1,,,,,,,1.6,,,$136.00,,Safety pilot for Devan Wiebe
1- right seat landing
23 Apr 09,PA28R-200,N41363,KBED,1.4,1,,,,,,,1.4,1.4,,$203.00,,
26 Apr 09,PA28R-200,N41363,KBED,1.3,4,,,,,,1.3,1.3,,,$242.45,,
28 Apr 09,PA-28-180,N9425J,3B3,0.3,2,,,,,,0.3,0.3,,,$17.00,,11knt x wind
9 May 09,PA-28-180,N9425J,3B3-BAF-PVD-3B3,2.3,1,1.0,1.0,,,,,2.3,,,$161.50,,IFR  GDM V103 BAF V146 PVD PUT 3B3 Safety pilot- dan gentille
15 May 09,PA-28-180,N9425J,3B3 HYA EWB 3B3,3.0,,0.5,2.0,0.7,,3.0,,3.0,,,$255.00,,OVC 100
3 MISSED
SAM CARTER SAFETY PILOT
26 May 09,PA-28-180,N9425J,3B3 FIT 3B3,0.8,5,,,,,,,0.8,,,$68.00,,2 SHORT APCH
2 GRASS
26 May 09,PA-28-180,N9425J,FIT ORH 3B3,1.0,1,,1.0,,,,,1.0,,,$85.00,,DAN GENTILLE SAFETY PILOT
ILS 11
VOR 33
HOLDS
2 Jun 09,PA28R-200,N41363,KBED 3B3 KBED,1.4,3,,,,,,,1.4,,,$203.00,,COMMERCIAL PRACTICE
9 Jun 09,Cessna 172,N6023Y,KBED KORH KBED,1.8,1,1.3,0.2,,,,,1.8,1.8,,$171.00,,IFR CHECKOUT WITH SEAN
29 Jun 09,PA-28-180,N9425J,3B3 HYA,1.2,1,0.6,,,,1.2,1.2,1.2,,,$102.00,,ILS 24
30 Jun 09,PA-28-180,N9425J,HYA MVY,0.5,1,0.3,,,,,0.5,0.5,,,$42.50,,ILS 24
3 Jul 09,PA-28-180,N9425J,MVY HYA,0.5,1,0.2,,,,,0.5,0.5,,,$42.50,,ILS 15
4 Jul 09,PA-28-180,N9425J,HYA HYA MVY,1.5,2,,,,,,0.4,1.5,,,$127.50,,SIGHSEEING WITH MAW MAW AND DAD THEN BACK TO MVY
9 Jul 09,PA-28-180,N9425J,MVY 1B2 MVY,1.0,2,,,,,,,1.0,,,$85.00,,SCENIC W/MR. V
STOP AT KATAMA
9 Jul 09,PA-28-180,N9425J,MVY 3B3,1.0,1,,,,,1.0,1.0,1.0,,,$85.00,,HOME FROM VACATION
11 Jul 09,L-23,118bb,3B3,0.3,1,,,,,,,0.3,0.3,,,,
14 Jul 09,PA-28-180,N9425J,3B3 GON 3B3,1.6,,,,,,,,1.6,,,$60.00,,SAFETY PILOT FOR DEVAN WIEBE
15 Jul 09,L-23,118bb,3B3,0.3,1,,,,,,,0.3,0.3,,,,
19 Jul 09,PA-28-180,N9425J,3B3 ORH 3B3,1.4,6,,,,,,1.4,1.4,,,,,COMMERCIAL MANEUVERS
22 Jul 09,PA-28-180,N9425J,3B3 cxy 3b3,5.5,,,,,,,,5.5,,,$50.00,,safety pilot for devan w
25 Jul 09,L-23,118bb,3B3,0.4,1,,,,,,,0.4,0.4,,,,
28 Jul 09,PA-28-180,N9425J,3B3 3b3,1.9,5,,,,,,,1.9,1.9,,$161.50,,Commercrial practice
1 Aug 09,PA28R-200,N41363,KBED,1.7,1,,,,,,,1.7,1.7,,$246.50,,
3 Aug 09,PA28R-200,N41363,KBED,2.2,5,,,,,,,2.2,2.2,,$319.00,,
3 Aug 09,PA28R-200,N41363,KBED,2.2,2,,,,,,,2.2,2.2,,$319.00,,
4 Aug 09,PA28R-200,N41363,KBED,1.9,4,,,,,,,1.9,1.9,,$275.50,,
6 Aug 09,PA28R-200,N41363,BED,1.9,4,,,,,,,1.9,1.9,,$275.50,,EOC commercial Jake Kasper
7 Aug 09,PA28R-200,N41363,BED,1.5,2,,,,,,1.5,1.5,,,$217.50,,Commercial practice
16 Aug 09,PA-28-180,N9425J,3B3,1.5,5,,,,,,1.5,1.5,,,$127.50,,commercial practice
18 Aug 09,PA28R-200,N41363,BED,1.2,2,,,,,,,1.2,,,$174.00,,Commercial checkride
20 Aug 09,PA-28-180,N9425J,3B3 ksfm kash 3b3,2.3,3,,,,,,,2.3,,,$195.50,,Right seat with dan vazquez
26 Aug 09,PA-28-180,N9425J,3B3 een 3b3,1.8,,,,,,,,1.8,,,,,Safety pilot for devan wiebe
27 Aug 09,PA28R-200,N41363,BED BED,1.4,1,,,,,,,1.4,1.4,,$203.00,,right seat
1 Sep 09,PA-28-180,N9425J,3B3,1.5,,,,,,,,1.5,,,,,Safety pilot for devan wiebe
1 Sep 09,PA-28-180,N9425J,3b3 fit 3b3,1.1,5,,,,,,,1.1,1.1,,$85.00,,right seat with gary rabidou
6 Sep 09,Pitts s2a,N1GE,3B3,0.6,,,,,,,,0.6,0.6,,$108.00,,spin training
7 Sep 09,Pitts s2a,N1GE,3B3,0.7,1,,,,,,,0.7,0.7,,$126.00,,spin training and aerobatics
9 Sep 09,PA28R-200,N41363,BED,1.6,3,,,,,,,1.6,1.6,,$232.00,,CFI practice with sean
10 Sep 09,PA28R-200,N41363,BED,1.6,3,,,,,,,1.6,1.6,,$232.00,,CFI practice
14 Sep 09,PA28R-200,N41363,BED,1.4,1,,,,,,,1.4,1.4,,$203.00,,stage 1 cfi check with jake
