11/19/2001	C-172	N5433R	LKR-LKR		1	0.0	1.1	1.1								1.1	1.1		
11/20/2001	C-172	N5433R	LKR-LKR	1		0.5		0.5								0.5	0.5		
11/21/2001	C-172	N5433R	LKR-SVH		1	0.0	1.2	1.2					1.2			1.2	1.2		
11/22/2001	C-172	N5433R	SVH-LKR	1		1.2		1.2					1.2			1.2	1.2		
12/5/2001	C-172	N5433R	LKR-LKR		2	0.1	1.2	1.3								1.3	1.3		
12/8/2001	C-172	N12701	LKR-LKR	3		0.6		0.6								0.6	0.6		
12/16/2001	C-172	N5433R	LKR-6J7-LKR	2		1.3		1.3					1.3			1.3	1.3		
12/18/2001	C-172	N5433R	LKR-CRE-FLO-LKR	1		3.5		3.5			3.5		3.5		3.5	3.5	3.5		
12/20/2001	C-172	N5433R	LKR-41A-1R8-L38	2	1	4.1	2.2	6.3					6.3			6.3	6.3		
12/23/2001	C-172	N5433R	L38-L38	2		1.0		1.0								1.0	1.0		
12/29/2001	C-172	N5433R	L38-L38	2		0.8		0.8								0.8	0.8		
1/5/2002	C-172	N5433R	L38-LGC-LKR	2		5.9		5.9					5.9			5.9	5.9		
1/7/2002	C-172	N12701	LKR-UZA-LKR	4		1.1		1.1								1.1	1.1		
1/13/2002	C-172	N5433R	LKR-CAE-LKR	2		1.5		1.5					1.5			1.5	1.5		
1/15/2002	C-172	N5433R	LKR-LKR	2		1.5		1.5			1.5				1.5	1.5	1.5		
1/20/2002	C-172	N5433R	LKR-2A5-LKR	2		2.3		2.3			1.3		2.3			2.3	2.3		
1/21/2002	C-172	N5433R	LKR-LKR	1		2.0		2.0			2.0				2.0	2.0	2.0		
1/27/2002	C-172	N5433R	LKR-GRD-LKR	2		1.7		1.7					1.7			1.7	1.7		
2/1/2002	C-172	N5433R	LKR-LKR	1		1.3		1.3			1.3				1.3	1.3	1.3		
2/2/2002	C-172	N5433R	LKR-LKR	6		0.6		0.6								0.6	0.6		
2/8/2002	C-172	N5433R	LKR-FLO-LKR	2		2.1		2.1			0.9		2.1			2.1	2.1		
2/9/2002	C-172	N4244Q	UZA-LKR	1		0.5		0.5								0.5	0.5		
2/21/2002	C-172	N5433R	LKR-FLO	1		1.0		1.0			1.0		1.0			1.0	1.0		
2/21/2002	C-172	N5433R	FLO-LKR	1		1.2		1.2			1.2		1.2			1.2	1.2		
2/23/2002	C-172	N5433R	LKR-2A5-LKR	2		2.3		2.3					2.3			2.3	2.3		
2/24/2002	C-172	N5433R	LKR-CKB-LKR	2		6.2		6.2					6.2			6.2	6.2		
2/28/2002	C-172	N12701	LKR-UZA-LKR	2		0.6		0.6								0.6	0.6		
3/8/2002	C-172	N12701	LKR-FLO-LKR	3		2.6		2.6			0.5		2.6			2.6	2.6		
3/10/2002	C-172	N5433R	LKR-2A5-LKR	2		2.4		2.4					2.4			2.4	2.4		
3/14/2002	C-172	N12701	LKR-EQY-LKR		3	0.0	0.7	0.7								0.7	0.7		
3/27/2002	C-172	N5433R	LKR-LKR	3		0.7		0.7								0.7	0.7		
3/29/2002	C-172	N5433R	LKR-OPN	2		3.0		3.0				2.3	3.0			3.0	3.0		
3/29/2002	C-172	N5433R	OPN-1R8	1		3.0		3.0					3.0			3.0	3.0		
3/29/2002	C-172	N5433R	1R8-L38	1		2.7		2.7				2.5	2.7			2.7	2.7		
4/1/2002	C-172	N5433R	L38-L38	1		1.1		1.1								1.1	1.1		
4/4/2002	C-172	N5433R	L38-LGC-LKR	2		6.2		6.2				4.5	6.2			6.2	6.2		
4/19/2002	C-172	N5433R	LKR-GSP	1		1.0		1.0					1.0			1.0	1.0		
4/20/2002	C-172	N5433R	GSP-LKR	1		0.9		0.9					0.9			0.9	0.9		
4/24/2002	C-172	N12701	LKR-EQY-CRE-EQY-LKR	2	2	2.1	1.2	3.3				0.2	3.3			3.3	3.3		
5/4/2002	C-172	N5433R	LKR-LKR	7		1.7		1.7								1.7	1.7		
5/10/2002	C-172	N5433R	LKR-LKR	1		1.0		1.0							1.0	1.0	1.0		
5/31/2002	C-172	N5433R	LKR-GVL-LKR	2		3.6		3.6				1.0	3.6			3.6	3.6		
6/4/2002	C-172	N5433R	LKR-ARANT-LKR	2		1.0		1.0								1.0	1.0		
