DATE	"AIRCRAFT MAKE & MODEL"	"AIRCRAFT IDENT"	ROUTE OF FLIGHT	DURATION	"LANDINGS DAY"	"LANDINGS NIGHT"	INSTRUMENT	"SIMULATED INSTRUMENT"	"APPROACHES & TYPE"	NIGHT	SIMULATOR	"CROSS COUNTRY"	SOLO	"PILOT IN COMMAND"	DUAL
8/17/2009	PA-28	N445DH	KUNI-KUNI	1.3	1									1.3	1.3
8/18/2009	C-150	N3297J	KUNI-KUNI	0.3	1								0.3	0.3	
8/21/2009	PA-28	N750U	KUNI-KUNI	1	4									1	1
8/22/2009	PA-28	N445DH	KUNI-KUNI	1.5	5								1.5	1.5	
8/25/2009	PA-28	N730U	KUNI-KPMH-KUNI	1.6	2									1.6	1.6
8/26/2009	PA-28	N720U	KUNI-KUNI	1	2									1	1
9/2/2009	AA-5A	N26988	3OH0-I73-3OH0	0.8	2									0.8	
9/4/2009	AA-5A	N26988	3OH0-KGRR-3OH0	3.5	2							3.5		3.5	
9/12/2009	C-150	N3297J	KUNI-KUNI	1.6	8									1.6	
9/13/2009	C-150	N3297J	KUNI-KUNI	0.3	3									0.3	
9/20/2009	PA-28	N740U	KUNI-KHAO	1.1	1							1.1		1.1	
9/20/2009	7-GCAA	N393MA	KHAO-KDAY-KHAO	1.8	1	1				0.4		1.8	1.8	1.8	
9/20/2009	PA-28	N740U	KHAO-KUNI	1.3	1				1.3		1.3		1.3	
9/21/2009	Frasca 142	SIM	KUNI								1				
9/22/2009	PA-28	N730U	KUNI-KUNI	1	1									1	
9/25/2009	C-152	N1000U	KUNI-KUNI	0.8	10								0.8	0.8	
9/27/2009	C-152	N1000U	KUNI-KUNI	0.6	6								0.6	0.6	
9/28/2009	Frasca 142	SIM	KUNI								0.4				
10/4/2009	C-152	N22OU	KUNI-KUNI	0.3	1									0.3	
10/5/2009	BE-A36	N18462	KUNI-KUNI	1.3	3										1.3
10/7/2009	BE-A36	N18462	KUNI-KUNI	1	4										1
10/7/2009	PA-28	N730U	KUNI-KLUK-KUNI	2.2	2				2.2		2.2		2.2	
10/8/2009	C-152	N22OU	KUNI-KFDY-KBTL	2.7	2			2.6				2.7		2.7	
10/20/2009	C-150	N3297J	KUNI-KUNI	0.7	3				0.7				0.7	
10/25/2009	C-150	N3297J	KUNI-KDAY-KUNI	3	1	1				1.5		3		3	
4/9/2009	Frasca 142	SIM	KUNI						1		1				
4/14/2009	Frasca 142	SIM	KUNI						1		1				
4/16/2009	PA-28	N780U	KUNI-KUNI	1.1	1			1	1					1.1	1.1
4/18/2009	PA-28	N780U	KUNI-KUNI	1	1			0.9	1					1	1
4/23/2009	PA-28	N740U	KUNI-KUNI	0.9	1			0.8	1					0.9	0.9
5/5/2009	Frasca 131	SIM	KUNI						1		1				
5/11/2009	Frasca 142	SIM	KUNI						1		1				
7/13/2009	PA-28	N720U	KUNI-K3G4-KUNI	2.9	4			2	1			2.9		2.9	2.9
8/1/2009	AA-5A	N26988	3OH0-KDAY-KLBO-KVBT	6.2	3		3		1			6.2		6.2	
10/21/2009	BE-A36	N18462	KUNI-KUNI	1.5	1			0.5	1					1.5	1.5
4/2/2009	Frasca 142	SIM	KUNI						2		1				
4/8/2009	PA-28	N750U	KUNI-KUNI	1.2	1		1	2	1.2				1.2	1.2
4/13/2009	PA-28	N750U	KUNI-KUNI	1.3	1			1.1	2					1.3	1.3
4/26/2009	Frasca 131	SIM	KUNI						2		1				
4/27/2009	Frasca 131	SIM	KUNI						2		1				
5/4/2009	PA-28	N760U	KUNI-KCRW-KHTS-KUNI	2.3	3		1		2			2.3			2.3
5/11/2009	PA-28	N740U	KUNI-KGAS-KUNI	1.5	1			1	2					1.5	1.5
5/12/2009	Frasca 131	SIM	KUNI						2		1				
5/30/2009	PA-28	N780U	KUNI-KPKB-KUNI	1.9	1			1.5	2					1.9	1.9
6/6/2009	PA-28	N750U	KUNI-KPKB-KUNI	1.4	1			1.3	2					1.4	1.4
6/7/2009	Frasca 142	SIM	KUNI						2		1				
6/30/2009	PA-28	N730U	KUNI-KGAS-KUNI	1.3	1			1.2	2					1.3	1.3
7/10/2009	PA-28	N730U	KUNI-KUNI	2	7			1	2					2	2
7/12/2009	Frasca 142	SIM	KUNI						2		1				
7/20/2009	Frasca 142	SIM	KUNI						2		1.5				
8/17/2009	Frasca 131	SIM	KUNI						2		1.5				
1/30/2009	Frasca 142	SIM	KUNI						3		1.5				
2/4/2009	Frasca 142	SIM	KUNI						3		1.5				
2/16/2009	Frasca 142	SIM	KUNI						3		1.5				
4/26/2009	PA-28	N760U	KUNI-KGAS-KUNI	2.3	1			2	3					2.3	2.3
5/12/2009	PA-28	N445DH	KUNI-KLWB-KPKB-KUNI	3.5	2	1		2	3	1.5		3.5		3.5	3.5
6/23/2009	PA-28	N750U	KUNI-KUNI	2.1	1			1.8	3					2.1	2.1
7/9/2009	PA-28	N750U	KUNI-KGAS-KUNI	1.5	2			1.3	3					1.5	
7/23/2009	Frasca 142	SIM	KUNI						3		1.5				
7/29/2009	Frasca 142	SIM	KUNI						3		1.5				
